frame   gaina    gainb       noisea noiseb
000     0        0           0      0
001     0.757    0.738       2.89   2.96 
002     0.762    0.743       2.84   2.78 
003     0.760    0.735       4.73   3.79
004     0.762    0.741       2.91   2.79
005     0.761    0.737       3.20   3.09
006     0.760    0.736       2.90   2.76
007     0.760    0.737       4.35   4.05
008     0.763    0.741       4.26   4.33
009     0.763    0.740       4.61   4.32
010     0.763    0.737       3.07   2.80
011     0.787    0.748       2.96   2.67
012     0.756    0.723       3.14   2.49
013     0.745    0.724       2.83   2.41
014     0        0           0      0
015     0        0           0      0
016     0.774    0.741       2.89   2.72
017     0.771    0.741       3.93   3.84
018     0.769    0.743       3.91   3.48
019     0.787    0.756       4.57   3.77
020     0.770    0.745       2.68   2.48
021     0        0           0      0
022     0.771    0.745       3.53   3.49
023     0.773    0.741       3.98   3.59
024     0.772    0.742       3.52   3.94
025     0.769    0.743       3.85   4.10
